Type,YIndex,TrainTime,TestTime,NumTrain,NumTest,StartIndex,BatchSize,Epochs,LR,TrainLoss,TestLoss
QuantumSequenceCircuit,0,3.024,0.116,20,12,0,4,100,0.005,6e-05,0.64573
QuantumSequenceCircuit,0,252.008,13.258,800,400,100,25,500,0.005,8392386.0,211124.59375
QuantumSequenceCircuit,0,449.877,22.902,800,400,100,25,500,0.005,10179996.0,194795.40625
QuantumSequenceCircuit,0,1.707,23.235,800,400,100,25,2,0.005,0.019140873276441192,0.00974
QuantumSequenceCircuit,0,1.697,23.67,800,400,100,25,2,0.005,0.017189014524587532,0.00938
QuantumSequenceCircuit,0,1.687,23.108,800,400,100,25,2,0.005,0.013750197012773357,0.01011
QuantumSequenceCircuit,0,1.71,23.58,800,400,100,25,2,0.005,0.01068410432018812,0.00962
QuantumSequenceCircuit,0,1.739,11.788,800,400,100,25,2,0.005,0.017048543180679845,0.00959
QuantumSequenceCircuit,0,433.853,11.902,800,400,100,25,500,0.005,0.012179738139324667,0.00953
QuantumSequenceCircuit,0,685.702,18.891,800,400,100,25,500,0.005,0.013427746405251224,0.01058
QuantumSequenceCircuit,0,0.229,0.089,20,10,0,5,4,0.005,0.0009352540854678885,0.00089
QuantumSequenceCircuit,0,0.043,0.069,12,8,0,4,1,0.005,0.00034797245362140107,0.00172
QuantumSequenceCircuit,0,0.084,0.069,12,8,0,4,2,0.005,0.0024187001604571716,0.00203
